,emptitle,emptitle_freq
0, 	adv mtr proj fld rep,1
1,   day care proivder,1
2,  carpenter ,1
3,  director,1
4,  electronics manager ,1
5,  elevator clearance operator ,1
6,  lead caterer,1
7, ac tech,1
8, acc manager,1
9, accounting  manager,1
10, administration assistant ,1
11, advance cnn ,1
12, afjrotc teacher,1
13, aftermarket expeditor,1
14, ambulatory rn clinic supervisor,1
15, and planned director of major gifts,1
16, appraisal coordinator,1
17, area leader,1
18, assembler,1
19, assistant manager,1
20, assistant teacher,1
21, assistant vice president,1
22, assitant director,1
23, associate professor,1
24, asst. site director,1
25, automotive technician,1
26," avp, private client support",1
27, banker,1
28, barber,1
29, bi reports developer,1
30, building engineer ,1
31, building maintenance tech,1
32, buisness development director- spa ,1
33, business analyst,1
34, capital account manager,1
35, carrier,1
36, case managerr,1
37, cash management team leader,1
38, cashier,2
39, ccht dialsys tech,1
40, ceo,1
41, certified professional coder,1
42, chat agent,1
43, child protective specialist,1
44, clerical,1
45, co-owner,1
46, collection manager,1
47, commercial driver,1
48, compliance specialist,1
49, consultant,1
50, controller,1
51, coordinator ,1
52, counselor,1
53, crew leader,1
54, custodian,1
55, custodian ,1
56, customer service representative,1
57, cyber project manager,1
58, dealer,1
59, dental hygienist ,1
60, department manager,1
61, derivative analyst,1
62, dining service,1
63, director of operations ,1
64, distribution specialist,1
65, division frontend manager,1
66, driver,4
67, driver / labour,1
68, drywall finisher,1
69, electrical craft helper ,1
70, electronics programmer,1
71, eligibility worker,1
72, employment specialist,1
73, engineering,1
74, esigner,1
75, estimator and sales rep,1
76, event marketing manager,1
77, excutive assistance,1
78, fac maintenance,1
79, facilities manager ,1
80, factor sales rep ,1
81, family physician,1
82, financial analyst ,1
83, finisher,1
84, fire lieutenant,1
85, food safety & quality manager,1
86, foreman,2
87, fork truck driver ,1
88, general counsel,1
89, general manager,1
90, hairstylist ,1
91, home manger,1
92, housekeeping,1
93, immigration enforcement agent,1
94, inside sales ,1
95, ironworker,1
96, it director,1
97, jr accouintant,1
98, kitchen manager,1
99, kitchen supervisor,1
100, l corrections officer,1
101, lab assistant,1
102, lab supervisor,1
103, librarian/teacher,1
104, line cook,1
105, loader operater,1
106, machine operator,2
107, machine operator ,2
108, machine tech,1
109, maintenance,2
110, maintenance lead,1
111, maintenance painter ,1
112, maintenance technician,1
113, maintenance-  fabricator ,1
114, management  ,1
115, manager,7
116, manager ,1
117," manager, clinical data management",1
118, mechanic ,1
119, medic,1
120, medical credentialing specialist ,1
121, membership representative ,1
122, military pay supervisor,1
123, motor person,1
124, mvfr,1
125, nanny/ house manager,1
126, napkin operator,1
127, night time supervisor maintenance,1
