,zipcode,zipcode_freq
0,7,1
1,8,2
2,10,403
3,11,127
4,12,90
5,13,79
6,14,155
7,15,379
8,16,162
9,17,302
10,18,587
11,19,470
12,20,344
13,21,1339
14,22,23
15,23,388
16,24,282
17,25,120
18,26,130
19,27,421
20,28,724
21,29,387
22,30,405
23,31,123
24,32,176
25,33,56
26,34,71
27,35,35
28,36,9
29,37,63
30,38,318
31,39,11
32,40,64
33,41,26
34,42,38
35,43,12
36,44,20
37,45,12
38,46,8
39,47,9
40,48,7
41,49,31
42,50,65
43,51,28
44,52,30
45,53,27
46,54,227
47,56,64
48,57,59
49,58,32
50,59,6
51,60,712
52,61,227
53,62,161
54,63,298
55,64,816
56,65,336
57,66,244
58,67,339
59,68,466
60,69,178
61,70,2098
62,71,306
63,72,186
64,73,339
65,74,464
66,75,176
67,76,620
68,77,582
69,78,410
70,79,226
71,80,1141
72,81,112
73,82,255
74,83,202
75,84,28
76,85,278
77,86,216
78,87,399
79,88,996
80,89,82
81,90,7
82,91,7
83,92,3
84,94,5
85,96,4
86,97,1
87,98,2
88,100,2196
89,101,128
90,102,28
91,103,602
92,104,1793
93,105,696
94,106,114
95,107,335
96,108,110
97,109,525
98,110,207
99,111,435
100,112,2788
101,113,1458
102,114,1013
103,115,689
104,116,133
105,117,1703
106,118,88
107,119,256
108,120,319
109,121,234
110,122,149
111,123,141
112,124,146
113,125,401
114,126,54
115,127,86
116,128,205
117,129,141
118,130,400
119,131,138
120,132,185
121,133,101
122,134,150
123,135,43
124,136,182
125,137,98
126,138,97
127,139,42
128,140,403
129,141,208
130,142,497
131,143,56
132,144,261
133,145,289
134,146,406
135,147,116
136,148,200
137,149,37
138,150,366
139,151,301
140,152,603
141,153,136
142,154,77
143,155,43
144,156,219
145,157,60
146,158,34
147,159,84
148,160,148
149,161,124
150,162,41
151,163,84
152,164,46
153,165,111
154,166,122
155,167,30
156,168,93
157,169,32
158,170,374
159,171,127
160,172,121
161,173,230
162,174,110
163,175,162
164,176,105
165,177,82
166,178,124
167,179,66
168,180,460
169,181,126
170,182,108
171,183,198
172,184,173
173,185,90
174,186,120
175,187,81
176,188,36
177,189,259
178,190,833
179,191,902
180,193,307
181,194,401
182,195,154
183,196,146
184,197,277
185,198,167
186,199,286
187,200,635
188,201,1072
189,203,1
190,204,1
191,206,435
192,207,1091
193,208,696
194,209,336
195,210,748
196,211,518
197,212,1091
198,214,77
199,215,49
200,216,123
201,217,483
202,218,121
203,219,89
204,220,455
205,221,473
206,222,285
207,223,428
208,224,215
209,225,234
210,226,191
211,227,68
212,228,109
213,229,201
214,230,205
215,231,323
216,232,390
217,233,206
218,234,460
219,235,152
220,236,284
221,237,46
222,238,271
223,239,50
224,240,245
225,241,138
226,242,94
227,243,79
228,244,93
229,245,232
230,246,35
231,247,37
232,248,14
233,249,24
234,250,29
235,251,37
236,252,26
237,253,80
238,254,175
239,255,66
240,256,16
241,257,40
242,258,53
243,259,14
244,260,105
245,261,82
246,262,51
247,263,56
248,264,26
249,265,113
250,266,12
251,267,21
252,268,7
253,270,156
254,271,154
255,272,388
256,273,234
257,274,240
258,275,993
259,276,493
260,277,231
261,278,287
262,279,85
263,280,533
264,281,434
265,282,823
266,283,546
267,284,323
268,285,262
269,286,384
270,287,323
271,288,97
272,289,17
273,290,280
274,291,172
275,292,249
276,293,216
277,294,537
278,295,352
279,296,587
280,297,261
281,298,111
282,299,140
283,300,2456
284,301,1182
285,302,848
286,303,986
287,304,123
288,305,551
289,306,308
290,307,228
291,308,168
292,309,142
293,310,342
294,311,5
295,312,97
296,313,182
297,314,155
298,315,170
299,316,112
300,317,216
301,318,53
302,319,138
303,320,485
304,321,418
305,322,784
306,323,283
307,324,241
308,325,523
309,326,247
310,327,989
311,328,951
312,329,557
313,330,1928
314,331,2233
315,332,10
316,333,1045
317,334,1452
318,335,769
319,336,694
320,337,723
321,338,554
322,339,672
